name,appid,developer,publisher,positive,negative,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu,genre,tags
Poly Bridge,367450,Dry Cactus,Dry Cactus,10667,955,"500,000 .. 1,000,000",434,0,178,0,999,999,0,162,"Indie, Simulation","{'Building': 365, 'Simulation': 290, 'Physics': 286, 'Puzzle': 270, 'Singleplayer': 194, 'Sandbox': 177, 'Difficult': 165, 'Indie': 164, 'Funny': 159, 'Great Soundtrack': 158, 'Level Editor': 155, 'Education': 153, 'Family Friendly': 153, 'Crafting': 148, 'Cartoon': 147, 'Colorful': 145, 'Cute': 144, 'Stylized': 138, 'Choices Matter': 136, 'Strategy': 132}"
eFootball  PES 2020,996470,Konami Digital Entertainment,Konami Digital Entertainment,17734,7568,"500,000 .. 1,000,000",4148,0,252,0,0,0,0,1936,Sports,"{'Sports': 475, 'Soccer': 182, 'Multiplayer': 127, 'Singleplayer': 110, 'Free to Play': 103, 'Football': 94, 'Simulation': 93, 'Online Co-Op': 61, 'Realistic': 57, 'Local Multiplayer': 52, 'Open World': 32, 'Controller': 28, 'Co-op': 25}"
DARK SOULS: REMASTERED,570940,QLOC,"FromSoftware, Inc, BANDAI NAMCO Entertainment",32386,5253,"500,000 .. 1,000,000",2077,1180,1655,1180,3999,3999,0,1377,Action,"{'Souls-like': 1400, 'Dark Fantasy': 911, 'Action': 899, 'Dark': 898, 'RPG': 867, 'Difficult': 777, 'Fantasy': 688, 'Education': 677, 'Action RPG': 556, 'Atmospheric': 530, 'Great Soundtrack': 480, 'Multiplayer': 431, 'Adventure': 379, 'Lore-Rich': 377, 'Third Person': 356, 'Story Rich': 342, 'Replay Value': 339, 'Exploration': 338, 'Soundtrack': 330, 'Character Customization': 322}"
Murder Miners,274900,JForce Games,JForce Games,5029,849,"500,000 .. 1,000,000",285,20,135,20,299,299,0,3,"Action, Casual, Indie","{'Indie': 238, 'Voxel': 231, 'Arena Shooter': 228, 'Zombies': 225, '4 Player Local': 222, 'Level Editor': 217, 'Local Multiplayer': 213, 'Split Screen': 210, 'Battle Royale': 202, 'FPS': 198, 'Shooter': 195, 'Multiplayer': 192, 'First-Person': 187, 'Controller': 182, 'Competitive': 177, 'PvP': 173, 'Co-op': 169, 'Building': 165, 'Sandbox': 154, 'Action': 139}"
Battleborn,394230,Gearbox Software,2K,5936,3633,"500,000 .. 1,000,000",271,0,106,0,0,0,0,0,Action,"{'Hero Shooter': 353, 'FPS': 295, 'Action': 241, 'Multiplayer': 229, 'MOBA': 210, 'Shooter': 196, 'Co-op': 192, 'Free to Play': 168, 'First-Person': 159, 'PvP': 140, 'Comedy': 129, 'Singleplayer': 127, 'Class-Based': 97, 'Sci-fi': 90, 'Funny': 86, 'Team-Based': 81, 'Online Co-Op': 76, 'Action RPG': 66, 'Memes': 66, 'RPG': 57}"
NBA 2K19,841370,Visual Concepts,2K,8874,13669,"500,000 .. 1,000,000",7528,119,3415,156,5999,5999,0,1141,"Simulation, Sports","{'Sports': 329, 'Basketball': 311, 'Simulation': 145, 'Multiplayer': 125, 'Singleplayer': 76, 'e-sports': 34, 'Co-op': 24, 'Great Soundtrack': 21, 'Competitive': 20, 'Controller': 17, 'Funny': 16, 'Open World': 9, 'Loot': 7, 'Atmospheric': 6, 'Violent': 6, 'Local Multiplayer': 6, 'FPS': 6, 'Realistic': 5, 'Horror': 5, 'NSFW': 5}"
Fallout Tactics: Brotherhood of Steel,38420,14° East,Bethesda Softworks,1200,302,"500,000 .. 1,000,000",327,0,40,0,999,999,0,0,Strategy,"{'Post-apocalyptic': 209, 'RPG': 160, 'Strategy': 153, 'Turn-Based': 145, 'Tactical': 138, 'Isometric': 110, 'Classic': 79, 'Singleplayer': 79, 'Turn-Based Strategy': 77, 'Sci-fi': 76, 'Tactical RPG': 54, 'Open World': 51, 'Real-Time with Pause': 49, 'Action': 47, 'Atmospheric': 40, 'Multiplayer': 31, 'Turn-Based Tactics': 30, 'Story Rich': 20, 'CRPG': 19, 'Adventure': 11}"
Brick-Force,335330,Exe Games Inc.,Infernum Games GmbH,1697,2480,"500,000 .. 1,000,000",346,0,23,0,0,0,0,0,"Action, Free to Play","{'Free to Play': 390, 'Multiplayer': 243, 'FPS': 207, 'Building': 201, 'Shooter': 192, 'Action': 189, 'PvP': 170, 'Sandbox': 155, 'Zombies': 122, 'Competitive': 94, 'Co-op': 75, 'First-Person': 71, 'Funny': 63, 'Open World': 60, 'Survival': 54, 'Casual': 52, 'Massively Multiplayer': 51, 'Adventure': 50, 'Singleplayer': 43, 'Indie': 41}"
America's Army 3,13140,U.S. Army,U.S. Army,1630,721,"500,000 .. 1,000,000",32,0,10,0,0,0,0,2,Action,"{'Action': 177, 'Free to Play': 136, 'FPS': 125, 'Multiplayer': 107, 'Military': 101, 'War': 86, 'Simulation': 85, 'Realistic': 78, 'Shooter': 76, 'First-Person': 66, 'Tactical': 58, 'Strategy': 55, 'Co-op': 52, 'Singleplayer': 52, 'America': 45, 'Open World': 35, 'Team-Based': 33, 'Adventure': 27, 'Zombies': 23, 'Sandbox': 13}"
METAL GEAR RISING: REVENGEANCE,235460,PlatinumGames,Konami Digital Entertainment,19032,1384,"500,000 .. 1,000,000",534,0,333,0,2999,2999,0,140,Action,"{'Great Soundtrack': 1825, 'Action': 1275, 'Hack and Slash': 1215, 'Spectacle fighter': 892, 'Swordplay': 682, 'Character Action Game': 638, 'Third Person': 418, 'Singleplayer': 380, 'Ninja': 304, 'Cyberpunk': 295, 'Fast-Paced': 280, 'Gore': 235, 'Sci-fi': 201, 'Difficult': 194, 'Replay Value': 190, 'Mechs': 176, 'Story Rich': 171, 'Adventure': 166, ""Beat 'em up"": 136, 'Stealth': 117}"
Aliens vs. Predator,10680,Rebellion,SEGA,12449,1373,"1,000,000 .. 2,000,000",430,0,233,0,1499,1499,0,71,Action,"{'Action': 484, 'FPS': 433, 'Aliens': 359, 'Sci-fi': 323, 'Multiplayer': 322, 'Horror': 322, 'Shooter': 256, 'Singleplayer': 240, 'First-Person': 227, 'Gore': 226, 'Stealth': 208, 'Atmospheric': 160, 'Survival': 154, 'Co-op': 145, 'Blood': 112, 'Survival Horror': 109, 'Hunting': 103, 'Adventure': 96, 'Online Co-Op': 62, 'Strategy': 42}"
Neon Abyss,788100,Veewo Games,"Team17 Digital Ltd, Yooreka Studio (China)",6862,1203,"500,000 .. 1,000,000",1048,742,981,742,1999,1999,0,1660,"Action, Adventure, Indie, RPG","{'Platformer': 671, 'Loot': 647, 'Rogue-like': 622, 'Procedural Generation': 582, 'Singleplayer': 548, 'Replay Value': 526, 'Shooter': 518, 'Rogue-lite': 511, 'Pixel Graphics': 510, 'Cyberpunk': 507, 'Dungeon Crawler': 498, 'Adventure': 492, '2D Platformer': 488, 'Action': 481, 'RPG': 471, 'Bullet Hell': 461, 'Action Roguelike': 435, '2D': 415, 'Action-Adventure': 414, 'Character Customization': 408}"
Heroes of Might & Magic III - HD Edition,297000,Dotemu,Ubisoft Entertainment,9804,3155,"500,000 .. 1,000,000",1736,102,769,127,1499,1499,0,1364,"RPG, Strategy","{'Strategy': 545, 'Classic': 400, 'Turn-Based Strategy': 382, 'Multiplayer': 262, 'Fantasy': 258, 'RPG': 210, 'Great Soundtrack': 207, 'Turn-Based': 185, 'Atmospheric': 183, 'Singleplayer': 144, 'Co-op': 106, 'Remake': 106, 'Adventure': 92, 'Replay Value': 74, 'Retro': 65, 'Local Multiplayer': 54, 'Magic': 52, 'Local Co-Op': 46, 'Action': 31, 'Online Co-Op': 14}"
Prime World,235340,Nival,Nival,2110,1597,"500,000 .. 1,000,000",110,0,131,0,0,0,0,69,"Action, Free to Play, Massively Multiplayer, RPG","{'Free to Play': 603, 'MOBA': 242, 'RPG': 169, 'Massively Multiplayer': 168, 'Strategy': 159, 'Multiplayer': 158, 'Action': 153, 'Fantasy': 89, 'Team-Based': 80, 'MMORPG': 73, 'Co-op': 67, 'Online Co-Op': 57, 'PvP': 52, 'Competitive': 45, 'e-sports': 44, 'RTS': 44, 'Replay Value': 42, 'Character Customization': 42, 'Steampunk': 41, 'Action RPG': 41}"
Homeworld Remastered Collection,244160,Gearbox Software,Gearbox Publishing,7866,1066,"500,000 .. 1,000,000",819,85,752,85,3499,3499,0,142,"Simulation, Strategy","{'Space': 572, 'Strategy': 477, 'RTS': 430, 'Sci-fi': 367, 'Classic': 307, 'Great Soundtrack': 268, 'Story Rich': 240, 'Remake': 199, 'Atmospheric': 197, 'Multiplayer': 192, 'Simulation': 160, 'Tactical': 143, 'Singleplayer': 103, 'Moddable': 89, 'Epic': 52, 'Action': 36, '4X': 32, 'Adventure': 29, 'Female Protagonist': 25, 'Futuristic': 20}"
Sonic Generations Collection,71340,Devil's Details,SEGA,12704,972,"500,000 .. 1,000,000",228,0,67,0,1999,1999,0,85,Action,"{'Platformer': 442, 'Great Soundtrack': 357, 'Action': 317, 'Fast-Paced': 294, '3D Platformer': 277, 'Singleplayer': 203, '2D': 195, 'Moddable': 186, 'Adventure': 178, 'Family Friendly': 147, 'Classic': 145, 'Retro': 142, 'Colorful': 140, 'Time Travel': 129, 'Controller': 115, '3D': 108, 'Third Person': 108, 'Replay Value': 87, '3D Vision': 84, 'Funny': 73}"
