name,appid,developer,publisher,positive,negative,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu,genre,tags
Dota 2,570,Valve,Valve,1227842,227571,"100,000,000 .. 200,000,000",35561,1561,1150,704,0,0,0,386883,"Action, Free to Play, Strategy","{'Free to Play': 57698, 'MOBA': 19129, 'Multiplayer': 14357, 'Strategy': 13433, 'e-sports': 10861, 'Team-Based': 10290, 'Competitive': 7658, 'Action': 7481, 'Online Co-Op': 6946, 'PvP': 5494, 'Difficult': 4858, 'Co-op': 3875, 'RTS': 3758, 'Tower Defense': 3451, 'Fantasy': 3407, 'RPG': 3402, 'Character Customization': 2633, 'Replay Value': 2540, 'Action RPG': 2214, 'Simulation': 1750}"
Counter-Strike: Global Offensive,730,"Valve, Hidden Path Entertainment",Valve,4669021,630083,"50,000,000 .. 100,000,000",27752,914,7825,386,0,0,0,665705,"Action, Free to Play","{'FPS': 85880, 'Shooter': 61498, 'Multiplayer': 58792, 'Competitive': 50343, 'Action': 45039, 'Team-Based': 43979, 'e-sports': 40703, 'Tactical': 39216, 'First-Person': 37256, 'PvP': 32520, 'Online Co-Op': 32223, 'Co-op': 28765, 'Strategy': 28651, 'Military': 27359, 'War': 26809, 'Difficult': 24944, 'Trading': 24488, 'Realistic': 24311, 'Fast-Paced': 24297, 'Moddable': 5620}"
Team Fortress 2,440,Valve,Valve,710587,44619,"50,000,000 .. 100,000,000",8167,1453,386,315,0,0,0,92804,"Action, Free to Play","{'Free to Play': 60771, 'Hero Shooter': 60284, 'Multiplayer': 21362, 'FPS': 14234, 'Shooter': 11583, 'Action': 11173, 'Class-Based': 8724, 'Team-Based': 8334, 'Funny': 8173, 'First-Person': 7004, 'Online Co-Op': 6560, 'Cartoony': 6454, 'Competitive': 6448, 'Trading': 6257, 'Co-op': 5186, 'Comedy': 4618, 'Robots': 4114, 'Tactical': 3537, 'Cartoon': 3436, 'Crafting': 3309}"
PLAYERUNKNOWN'S BATTLEGROUNDS,578080,"KRAFTON, Inc.","KRAFTON, Inc.",896178,764225,"50,000,000 .. 100,000,000",24205,684,11413,169,2999,2999,0,269866,"Action, Adventure, Massively Multiplayer","{'Survival': 13079, 'Shooter': 10896, 'Multiplayer': 9475, 'Battle Royale': 8895, 'FPS': 7145, 'PvP': 6885, 'Third-Person Shooter': 6352, 'Action': 5297, 'Online Co-Op': 4709, 'Tactical': 4428, 'Co-op': 3754, 'First-Person': 3498, 'Strategy': 2715, 'Early Access': 2611, 'Competitive': 1895, 'Third Person': 1843, 'Team-Based': 1654, 'Difficult': 1391, 'Simulation': 1062, 'Stealth': 955}"
Unturned,304930,Smartly Dressed Games,Smartly Dressed Games,382989,36911,"20,000,000 .. 50,000,000",4738,1472,327,237,0,0,0,24326,"Action, Adventure, Casual, Free to Play, Indie","{'Free to Play': 35860, 'Survival': 15594, 'Zombies': 14623, 'Open World Survival Craft': 14309, 'Multiplayer': 13735, 'Open World': 12283, 'Adventure': 9278, 'Crafting': 8915, 'Action': 7855, 'First-Person': 7573, 'Co-op': 7251, 'Sandbox': 6722, 'Shooter': 6482, 'Post-apocalyptic': 6355, 'FPS': 5713, 'Singleplayer': 5368, 'Massively Multiplayer': 4324, 'Indie': 4112, 'Casual': 3679, 'Atmospheric': 3627}"
Warframe,230410,Digital Extremes,Digital Extremes,371706,38139,"20,000,000 .. 50,000,000",7540,1336,375,506,0,0,0,38794,"Action, Free to Play","{'Free to Play': 14475, 'Looter Shooter': 14298, 'Action': 7943, 'Co-op': 7107, 'Multiplayer': 7037, 'Third-Person Shooter': 6308, 'Sci-fi': 5594, 'Ninja': 5107, 'Shooter': 4918, 'Parkour': 4480, 'Space': 4334, 'Online Co-Op': 4147, 'Futuristic': 3136, 'Third Person': 3124, 'Massively Multiplayer': 2964, 'PvE': 2867, 'RPG': 2449, 'Hack and Slash': 2152, 'Singleplayer': 2019, 'FPS': 1749}"
Terraria,105600,Re-Logic,Re-Logic,674399,14329,"10,000,000 .. 20,000,000",6517,741,1708,149,999,999,0,35156,"Action, Adventure, Indie, RPG","{'Open World Survival Craft': 13877, 'Sandbox': 13685, 'Survival': 10455, '2D': 10117, 'Multiplayer': 9752, 'Adventure': 9688, 'Crafting': 8966, 'Building': 8370, 'Pixel Graphics': 8194, 'Exploration': 7250, 'Co-op': 6244, 'Open World': 6036, 'Indie': 4900, 'Online Co-Op': 4694, 'Action': 4652, 'RPG': 4155, 'Singleplayer': 4062, 'Platformer': 3304, 'Replay Value': 3290, 'Atmospheric': 2780}"
Left 4 Dead 2,550,Valve,Valve,450843,12751,"20,000,000 .. 50,000,000",2841,596,533,117,999,999,0,13040,Action,"{'Zombies': 19990, 'Co-op': 10360, 'FPS': 9295, 'Multiplayer': 8392, 'Shooter': 6433, 'Action': 6198, 'Online Co-Op': 6045, 'Survival': 5035, 'Horror': 4592, 'First-Person': 4093, 'Gore': 3733, 'Team-Based': 3194, 'Moddable': 2588, 'Survival Horror': 2585, 'Post-apocalyptic': 2527, 'Singleplayer': 2039, 'Adventure': 1907, 'Local Co-Op': 1816, 'Replay Value': 1795, 'Tactical': 1758}"
Tom Clancy's Rainbow Six Siege,359550,Ubisoft Montreal,Ubisoft,753186,101359,"20,000,000 .. 50,000,000",12579,631,2686,339,1999,1999,0,62871,Action,"{'FPS': 8807, 'Hero Shooter': 8531, 'Multiplayer': 6799, 'Tactical': 6180, 'Shooter': 5851, 'Team-Based': 5076, 'Action': 4478, 'First-Person': 4329, 'Competitive': 3529, 'Co-op': 3463, 'Strategy': 3419, 'Realistic': 3024, 'Online Co-Op': 2862, 'Destruction': 2681, 'Psychological Horror': 1644, 'Physics': 1632, 'Atmospheric': 1430, 'Singleplayer': 1293, 'Massively Multiplayer': 1291, 'Casual': 1101}"
Grand Theft Auto V,271590,Rockstar North,Rockstar Games,845966,188471,"20,000,000 .. 50,000,000",12241,645,5742,163,0,0,0,107345,"Action, Adventure","{'Open World': 28629, 'Action': 21017, 'Multiplayer': 19203, 'Automobile Sim': 17389, 'Crime': 16901, 'Third Person': 16855, 'First-Person': 16665, 'Shooter': 13053, 'Adventure': 12218, 'Mature': 11313, 'Singleplayer': 10886, 'Third-Person Shooter': 10724, 'Racing': 10351, 'Atmospheric': 9034, 'Co-op': 9012, 'Sandbox': 8843, 'Funny': 8274, 'Great Soundtrack': 7809, 'Comedy': 7604, 'Moddable': 5290}"
Garry's Mod,4000,Facepunch Studios,Valve,642590,23202,"20,000,000 .. 50,000,000",10590,545,1561,158,999,999,0,19973,"Indie, Simulation","{'Sandbox': 16836, 'Multiplayer': 13095, 'Funny': 11692, 'Moddable': 9253, 'Building': 9075, 'Comedy': 7884, 'Co-op': 7797, 'Mod': 7602, 'First-Person': 7504, 'Physics': 6359, 'Simulation': 6337, 'Online Co-Op': 6147, 'FPS': 5818, 'Singleplayer': 5702, 'Action': 5260, 'Shooter': 5046, 'Animation & Modeling': 5036, 'Indie': 4782, 'Adventure': 4419, 'Massively Multiplayer': 4413}"
Brawlhalla,291550,Blue Mammoth Games,Ubisoft,171663,30540,"20,000,000 .. 50,000,000",2047,289,227,89,0,0,0,10695,"Action, Free to Play, Indie","{'Free to Play': 3414, 'Multiplayer': 2457, 'Fighting': 2351, '2D Fighter': 1686, '2D': 1683, 'Action': 1238, 'Local Multiplayer': 1161, 'Platformer': 967, 'Co-op': 874, 'Controller': 838, 'Online Co-Op': 775, 'Local Co-Op': 721, '4 Player Local': 655, ""Beat 'em up"": 577, 'Indie': 547, 'Singleplayer': 494, 'Massively Multiplayer': 443, 'Early Access': 384, 'Survival': 338, 'Adventure': 292}"
War Thunder,236390,Gaijin Entertainment,Gaijin Distribution KFT,163220,39833,"20,000,000 .. 50,000,000",4634,637,350,242,0,0,0,25183,"Action, Free to Play, Massively Multiplayer, Simulation","{'Free to Play': 5879, 'World War II': 3197, 'Multiplayer': 3000, 'Simulation': 2978, 'War': 2912, 'Flight': 2893, 'Tanks': 2830, 'Military': 2540, 'Massively Multiplayer': 2040, 'Action': 1880, 'Realistic': 1688, 'Historical': 1533, 'Shooter': 1315, 'Team-Based': 1238, 'Co-op': 1015, 'Strategy': 1012, 'Arcade': 895, 'FPS': 884, 'Open World': 827, 'TrackIR': 410}"
Half-Life 2: Lost Coast,340,Valve,Valve,7703,1169,"10,000,000 .. 20,000,000",87,93,21,93,0,0,0,17,Action,"{'FPS': 1009, 'Action': 349, 'Singleplayer': 295, 'First-Person': 240, 'Sci-fi': 236, 'Shooter': 213, 'Short': 206, 'Aliens': 111, 'Dystopian ': 103, 'Classic': 101, 'Adventure': 98, 'Futuristic': 85, 'Benchmark': 84, 'Atmospheric': 82, 'Silent Protagonist': 72, 'Free to Play': 55, 'Multiplayer': 36, 'Post-apocalyptic': 35, 'Story Rich': 33, 'Great Soundtrack': 28}"
Counter-Strike,10,Valve,Valve,172196,4436,"10,000,000 .. 20,000,000",13129,290,203,123,999,999,0,9441,Action,"{'Action': 5339, 'FPS': 4752, 'Multiplayer': 3315, 'Shooter': 3297, 'Classic': 2730, 'Team-Based': 1819, 'First-Person': 1669, 'Competitive': 1567, 'Tactical': 1306, ""1990's"": 1167, 'e-sports': 1157, 'PvP': 848, 'Old School': 730, 'Military': 617, 'Strategy': 603, 'Survival': 292, 'Score Attack': 281, '1980s': 251, 'Assassin': 224, 'Violent': 63}"
PAYDAY 2,218620,OVERKILL - a Starbreeze Studio.,Starbreeze Publishing AB,432367,59638,"10,000,000 .. 20,000,000",4520,2539,559,1075,999,999,0,21071,"Action, RPG","{'Co-op': 9286, 'Action': 7187, 'FPS': 7070, 'Heist': 6622, 'Looter Shooter': 6071, 'Online Co-Op': 5783, 'Stealth': 5717, 'Multiplayer': 5686, 'Crime': 5243, 'Shooter': 4494, 'Team-Based': 4096, 'First-Person': 4008, 'Great Soundtrack': 3759, 'Gun Customization': 3453, 'Tactical': 3183, 'PvE': 2484, 'Strategy': 2181, 'Singleplayer': 1915, 'Simulation': 1470, 'Funny': 1425}"
Among Us,945360,Innersloth,Innersloth,474071,23648,"10,000,000 .. 20,000,000",1214,108,681,63,499,499,0,13566,Casual,"{'Multiplayer': 1144, 'Online Co-Op': 806, 'Space': 795, 'Social Deduction': 780, 'Survival': 661, 'Funny': 608, '2D': 604, 'Co-op': 529, 'Psychological': 525, 'Local Multiplayer': 491, 'Cartoony': 477, 'Casual': 439, 'Colorful': 414, 'Indie': 406, 'Sci-fi': 397, 'Minigames': 385, 'Aliens': 328, 'Top-Down': 322, 'PvP': 315, 'Local Co-Op': 312}"
Paladins,444090,Evil Mojo Games,Hi-Rez Studios,250370,41826,"10,000,000 .. 20,000,000",2669,909,534,1105,0,0,0,5742,"Action, Free to Play","{'Hero Shooter': 50192, 'Free to Play': 5115, 'Multiplayer': 3134, 'FPS': 3008, 'Shooter': 2641, 'Action': 2146, 'Team-Based': 2086, 'First-Person': 1691, 'PvP': 1645, 'MOBA': 1556, 'Online Co-Op': 1450, 'Fantasy': 1142, 'Strategy': 1028, 'Co-op': 1015, 'Early Access': 1006, 'Massively Multiplayer': 861, 'Funny': 718, 'Adventure': 539, 'Survival': 533, 'Anime': 439}"
Destiny 2,1085660,Bungie,Bungie ,290013,48886,"10,000,000 .. 20,000,000",5635,724,362,412,0,0,0,43798,"Action, Adventure, Free to Play","{'PvP': 2001, 'PvE': 1967, 'Open World': 1954, 'Looter Shooter': 1952, 'FPS': 1939, 'MMORPG': 1916, 'Competitive': 1901, 'Shooter': 1899, 'First-Person': 1880, 'Sci-fi': 1878, 'Free to Play': 1872, 'Lore-Rich': 1870, 'Action': 1870, 'Space': 1861, 'Loot': 1857, 'Co-op': 1851, 'Adventure': 1832, 'Atmospheric': 1831, 'Massively Multiplayer': 1818, 'Cinematic': 1809}"
Path of Exile,238960,Grinding Gear Games,Grinding Gear Games,143713,10429,"10,000,000 .. 20,000,000",5645,1795,334,1066,0,0,0,33601,"Action, Adventure, Free to Play, Indie, Massively Multiplayer, RPG","{'Free to Play': 16526, 'Action RPG': 2963, 'Hack and Slash': 2677, 'RPG': 2469, 'Multiplayer': 2382, 'Massively Multiplayer': 1819, 'Loot': 1751, 'MMORPG': 1311, 'Action': 1223, 'Fantasy': 1127, 'Dungeon Crawler': 1079, 'Adventure': 1073, 'Online Co-Op': 967, 'Co-op': 842, 'Dark Fantasy': 829, 'Indie': 828, 'Character Customization': 814, 'PvE': 799, 'Inventory Management': 645, 'Fishing': 500}"
Apex Legends,1172470,Respawn Entertainment,Electronic Arts,128101,10356,"10,000,000 .. 20,000,000",1821,916,448,490,0,0,0,106704,"Action, Adventure, Free to Play","{'Free to Play': 504, 'Battle Royale': 459, 'Shooter': 433, 'First-Person': 429, 'Multiplayer': 427, 'PvP': 357, 'Hero Shooter': 341, 'Team-Based': 319, 'Action': 310, 'Character Customization': 279, 'Survival': 266, 'Sci-fi': 264, 'Funny': 254, 'FPS': 252, 'Loot': 252, 'Tactical': 250, 'Lore-Rich': 240, 'Cyberpunk': 240, 'Science': 205, 'Cinematic': 203}"
Borderlands 2,49520,"Gearbox Software, Aspyr (Mac), Aspyr (Linux)","2K, Aspyr (Mac), Aspyr (Linux)",226265,15801,"10,000,000 .. 20,000,000",2827,122,948,117,499,1999,75,3261,"Action, RPG","{'Loot': 9493, 'Shooter': 9012, 'Action': 8986, 'Multiplayer': 7402, 'Co-op': 7256, 'Looter Shooter': 6899, 'FPS': 6696, 'RPG': 5409, 'First-Person': 5287, 'Funny': 4976, 'Comedy': 4749, 'Open World': 3345, 'Combat': 2895, 'Online Co-Op': 1999, 'Adventure': 1944, 'Action RPG': 1695, 'Dark Humor': 1608, 'Memes': 1304, 'Singleplayer': 1253, 'Sci-fi': 1244}"
Rocket League,252950,Psyonix LLC,Psyonix LLC,455087,55134,"10,000,000 .. 20,000,000",11557,464,2099,277,0,0,0,29008,"Action, Indie, Racing, Sports","{'Multiplayer': 6478, 'Soccer': 5060, 'Competitive': 4481, 'Sports': 3932, 'Racing': 3846, 'Team-Based': 3339, 'Online Co-Op': 2805, 'Football': 2292, 'Fast-Paced': 2153, 'Co-op': 2105, 'Action': 1898, 'Funny': 1867, 'Great Soundtrack': 1634, 'Local Multiplayer': 1580, 'Split Screen': 1447, 'Local Co-Op': 1320, 'Singleplayer': 1213, '4 Player Local': 1180, 'Casual': 1175, 'Indie': 870}"
Cyberpunk 2077,1091500,CD PROJEKT RED,CD PROJEKT RED,301986,87853,"10,000,000 .. 20,000,000",2500,408,1832,162,5999,5999,0,21999,RPG,"{'Cyberpunk': 4730, 'Open World': 3883, 'RPG': 3557, 'Sci-fi': 3465, 'Futuristic': 3464, 'Singleplayer': 3331, 'FPS': 3252, 'First-Person': 3134, 'Atmospheric': 3104, 'Exploration': 3021, 'Story Rich': 2943, 'Nudity': 2928, 'Mature': 2576, 'Action': 2122, 'Violent': 1831, 'Great Soundtrack': 1644, 'Action RPG': 1625, 'Adventure': 1525, 'Immersive Sim': 577, 'Character Customization': 442}"
Heroes & Generals,227940,RETO MOTO,RETO MOTO,87179,41787,"10,000,000 .. 20,000,000",894,1094,75,1158,0,0,0,2463,"Action, Free to Play, Indie, Massively Multiplayer, Strategy","{'Free to Play': 6003, 'World War II': 3307, 'FPS': 3201, 'Multiplayer': 3188, 'War': 2779, 'Shooter': 2543, 'Action': 2347, 'First-Person': 1756, 'Massively Multiplayer': 1598, 'Strategy': 1176, 'Tactical': 1138, 'Co-op': 1116, 'Historical': 1052, 'Open World': 950, 'Simulation': 703, 'Atmospheric': 618, 'Adventure': 569, 'Indie': 509, 'Early Access': 440, 'RTS': 339}"
Rust,252490,Facepunch Studios,Facepunch Studios,488181,81194,"10,000,000 .. 20,000,000",15364,1499,2712,679,3999,3999,0,81603,"Action, Adventure, Indie, Massively Multiplayer, RPG","{'Survival': 15249, 'Crafting': 9618, 'Multiplayer': 9353, 'Open World': 8839, 'Open World Survival Craft': 6768, 'Building': 6494, 'Sandbox': 6089, 'PvP': 5991, 'Adventure': 4861, 'First-Person': 4093, 'Action': 3902, 'FPS': 3629, 'Nudity': 3472, 'Co-op': 2880, 'Shooter': 2838, 'Online Co-Op': 2772, 'Indie': 2699, 'Early Access': 2624, 'Post-apocalyptic': 2218, 'Simulation': 1996}"
Counter-Strike: Source,240,Valve,Valve,114464,4685,"10,000,000 .. 20,000,000",4548,79,318,118,999,999,0,3223,Action,"{'Shooter': 5196, 'Action': 3117, 'FPS': 3075, 'Multiplayer': 2437, 'Team-Based': 1624, 'First-Person': 1425, 'Tactical': 1285, 'Competitive': 1275, 'PvP': 983, 'e-sports': 875, 'Military': 717, 'War': 625, 'Strategy': 492, 'Moddable': 468, 'Difficult': 370, 'Singleplayer': 364, 'Atmospheric': 284, 'Survival': 279, 'Simulation': 244, 'Sandbox': 199}"
Wallpaper Engine,431960,Wallpaper Engine Team,Wallpaper Engine Team,300392,5700,"10,000,000 .. 20,000,000",3064,249,652,15,399,399,0,44335,"Casual, Indie, Animation & Modeling, Design & Illustration, Photo Editing, Utilities","{'Utilities': 1346, 'Mature': 1310, 'Software': 1064, 'Anime': 903, 'Design & Illustration': 837, 'Animation & Modeling': 661, 'Casual': 435, 'Memes': 406, 'Early Access': 357, 'Indie': 341, 'Cute': 302, 'Funny': 280, 'Action': 241, 'Singleplayer': 226, 'Music': 202, 'Sandbox': 178, 'NSFW': 148, 'Photo Editing': 129, 'Game Development': 82, 'Horror': 69}"
Robocraft,301520,Freejam,Freejam,85299,32170,"10,000,000 .. 20,000,000",1241,52,191,52,0,0,0,111,"Action, Free to Play, Indie, Massively Multiplayer, RPG, Simulation","{'Free to Play': 3927, 'Robots': 2463, 'Building': 2337, 'Multiplayer': 2294, 'Action': 1666, 'Shooter': 1565, 'PvP': 1448, 'Massively Multiplayer': 1300, 'Sandbox': 1252, 'Crafting': 1206, 'Third-Person Shooter': 993, 'Sci-fi': 877, 'Strategy': 819, 'Simulation': 748, 'Early Access': 632, 'Indie': 607, 'Open World': 563, 'Funny': 512, 'Adventure': 446, 'RPG': 428}"
Warface,291480,MY.GAMES,MY.GAMES,44873,20491,"10,000,000 .. 20,000,000",1607,389,133,540,0,0,0,2676,"Action, Free to Play, Massively Multiplayer, RPG","{'Free to Play': 3510, 'FPS': 1715, 'Multiplayer': 1609, 'Shooter': 1480, 'Action': 1403, 'Co-op': 1163, 'First-Person': 999, 'Online Co-Op': 883, 'War': 810, 'PvP': 695, 'Massively Multiplayer': 647, 'Military': 624, 'Team-Based': 533, 'Zombies': 531, 'Tactical': 507, 'Open World': 396, 'Adventure': 379, 'Strategy': 343, 'Simulation': 276, 'Great Soundtrack': 270}"
The Witcher 3: Wild Hunt,292030,CD PROJEKT RED,CD PROJEKT RED,467287,9346,"10,000,000 .. 20,000,000",3333,320,1116,60,3999,3999,0,26478,RPG,"{'Open World': 10544, 'RPG': 9172, 'Story Rich': 8408, 'Atmospheric': 6020, 'Mature': 5609, 'Fantasy': 5534, 'Adventure': 5401, 'Singleplayer': 5033, 'Choices Matter': 4801, 'Nudity': 4530, 'Great Soundtrack': 4093, 'Third Person': 3953, 'Action': 3716, 'Medieval': 3668, 'Multiple Endings': 3306, 'Action RPG': 3199, 'Dark Fantasy': 3099, 'Magic': 3085, 'Dark': 1859, 'Sandbox': 1040}"
Fall Guys: Ultimate Knockout,1097150,Mediatonic,Devolver Digital,283552,60191,"10,000,000 .. 20,000,000",1155,417,471,76,1999,1999,0,10507,"Action, Casual, Indie, Massively Multiplayer, Sports","{'Multiplayer': 1216, 'Funny': 1064, 'Battle Royale': 811, 'Online Co-Op': 737, 'Family Friendly': 716, 'Comedy': 671, 'Party Game': 664, 'Cute': 655, 'Casual': 592, 'Physics': 578, 'Massively Multiplayer': 566, 'Colorful': 556, '3D Platformer': 392, 'Indie': 334, 'Co-op': 321, 'Action': 283, 'Controller': 125, 'Great Soundtrack': 109, 'Difficult': 88, 'Local Co-Op': 54}"
Guacamelee! Super Turbo Championship Edition,275390,DrinkBox Studios,DrinkBox Studios,4936,409,"10,000,000 .. 20,000,000",191,0,47,0,1499,1499,0,14,"Action, Adventure, Indie","{'Metroidvania': 6818, '2D': 495, 'Platformer': 453, 'Action': 357, 'Colorful': 252, 'Indie': 230, 'Local Co-Op': 217, 'Adventure': 201, 'Funny': 184, ""Beat 'em up"": 151, 'Comedy': 138, 'Co-op': 135, 'Great Soundtrack': 129, 'Singleplayer': 119, 'Wrestling': 114, '4 Player Local': 113, 'Local Multiplayer': 88, 'Side Scroller': 83, 'Action-Adventure': 82, 'Memes': 70}"
Portal 2,620,Valve,Valve,232703,2881,"10,000,000 .. 20,000,000",860,187,550,274,999,999,0,1600,"Action, Adventure","{'Platformer': 6960, 'Dark Humor': 6497, 'Puzzle-Platformer': 6445, 'Puzzle': 6432, 'First-Person': 6426, 'Story Rich': 6408, 'Female Protagonist': 6390, '3D Platformer': 6371, 'Funny': 6362, 'Action-Adventure': 6341, 'FPS': 6309, 'Action': 6307, 'Physics': 4595, 'Co-op': 4578, 'Level Editor': 4502, 'Sci-fi': 4434, 'Science': 4399, 'Atmospheric': 4383, 'Comedy': 4374, 'Adventure': 4362}"
Black Squad,550650,"VALOFE, NS STUDIO",VALOFE,56994,16627,"10,000,000 .. 20,000,000",1422,392,58,654,0,0,0,1290,"Action, Free to Play","{'Free to Play': 2511, 'FPS': 1813, 'Shooter': 1620, 'Multiplayer': 1612, 'Action': 1150, 'Early Access': 941, 'First-Person': 787, 'Military': 741, 'PvP': 666, 'Co-op': 600, 'Singleplayer': 592, 'Massively Multiplayer': 523, 'War': 523, 'Tactical': 515, 'Team-Based': 488, 'Violent': 391, 'Open World': 340, 'Strategy': 331, 'Gore': 304, 'Adventure': 238}"
Half-Life 2,220,Valve,Valve,115160,3196,"10,000,000 .. 20,000,000",750,73,350,90,999,999,0,590,Action,"{'FPS': 3781, 'Action': 2679, 'Sci-fi': 2330, 'Classic': 2127, 'Singleplayer': 2044, 'Story Rich': 1739, 'Shooter': 1576, 'First-Person': 1467, 'Adventure': 1260, 'Dystopian ': 1096, 'Atmospheric': 1012, 'Zombies': 927, 'Silent Protagonist': 891, 'Physics': 864, 'Aliens': 845, 'Great Soundtrack': 824, 'Horror': 645, 'Puzzle': 639, 'Multiplayer': 621, 'Moddable': 426}"
Ring of Elysium,755790,Aurora Studio,TCH Scarlet Limited,70302,23134,"10,000,000 .. 20,000,000",820,34,92,55,0,0,0,1529,"Action, Free to Play, Massively Multiplayer","{'Free to Play': 1571, 'Battle Royale': 1296, 'Shooter': 1011, 'Multiplayer': 985, 'Survival': 812, 'FPS': 663, 'Action': 651, 'Massively Multiplayer': 644, 'Third-Person Shooter': 583, 'Early Access': 577, 'Singleplayer': 485, 'Co-op': 481, 'PvP': 474, 'Tactical': 472, 'Open World': 468, 'MOBA': 467, 'Violent': 467, '3D': 466, 'Gore': 465, 'First-Person': 350}"
Half-Life 2: Deathmatch,320,Valve,Valve,8316,938,"10,000,000 .. 20,000,000",476,59,44,97,499,499,0,110,Action,"{'Action': 858, 'FPS': 474, 'Multiplayer': 397, 'Shooter': 253, 'First-Person': 234, 'Sci-fi': 175, 'Physics': 171, 'Competitive': 134, 'Funny': 101, 'Co-op': 93, 'Old School': 85, 'PvP': 58, 'Arena Shooter': 44, 'Atmospheric': 37, 'Moddable': 36, 'Adventure': 29, 'Great Soundtrack': 22, 'Singleplayer': 15, 'Online Co-Op': 9, 'Puzzle': 8}"
Z1 Battle Royale,433850,Daybreak Game Company,Daybreak Game Company,114725,93353,"10,000,000 .. 20,000,000",2367,12501,145,12501,0,0,0,122,"Action, Adventure, Free to Play, Massively Multiplayer","{'Survival': 2797, 'Massively Multiplayer': 1645, 'Multiplayer': 1595, 'Open World': 1496, 'Battle Royale': 1271, 'PvP': 1225, 'FPS': 1145, 'Action': 1046, 'Shooter': 1036, 'Free to Play': 898, 'Third-Person Shooter': 831, 'Zombies': 723, 'Co-op': 621, 'Early Access': 619, 'Online Co-Op': 607, 'Adventure': 566, 'First-Person': 495, 'Violent': 461, 'Gore': 348, 'Walking Simulator': 343}"
SMITE,386360,Titan Forge Games,Hi-Rez Studios,64812,15151,"10,000,000 .. 20,000,000",2156,845,164,1044,0,0,0,6746,"Action, Free to Play","{'Free to Play': 2290, 'MOBA': 1297, 'Multiplayer': 1008, 'Action': 859, 'Third Person': 820, 'Mythology': 748, 'Team-Based': 586, 'Competitive': 542, 'PvP': 498, 'Strategy': 496, 'Co-op': 484, 'Massively Multiplayer': 362, 'e-sports': 314, 'RPG': 287, 'MMORPG': 249, 'Adventure': 243, 'Funny': 202, 'Nudity': 184, 'Casual': 183, 'Survival': 180}"
Sid Meier's Civilization V,8930,"Firaxis Games, Aspyr (Mac), Aspyr (Linux)","2K, Aspyr (Mac), Aspyr (Linux)",165796,6632,"5,000,000 .. 10,000,000",5958,480,2756,763,2999,2999,0,13607,Strategy,"{'Turn-Based Strategy': 4850, 'Strategy': 4248, 'Turn-Based': 2502, 'Multiplayer': 2322, 'Historical': 2116, '4X': 1666, 'Addictive': 1618, 'Singleplayer': 1551, 'Hex Grid': 1271, 'Grand Strategy': 991, 'Replay Value': 810, 'Co-op': 738, 'Tactical': 697, 'Economy': 687, 'Diplomacy': 646, 'Moddable': 601, 'Simulation': 576, 'Classic': 448, 'Great Soundtrack': 432, 'Touch-Friendly': 289}"
The Tiny Bang Story,96000,Colibri Games,Colibri Games,4823,686,"2,000,000 .. 5,000,000",306,0,312,0,499,499,0,16,"Adventure, Casual, Indie","{'Puzzle': 4563, 'Point & Click': 266, 'Hand-drawn': 253, 'Adventure': 212, 'Hidden Object': 175, 'Singleplayer': 147, 'Casual': 138, '2D': 132, 'Great Soundtrack': 122, 'Story Rich': 112, 'Funny': 111, 'Comedy': 106, 'Indie': 104, 'Retro': 90, 'Classic': 89, 'Cult Classic': 86, ""1990's"": 82, 'Relaxing': 69, 'Cute': 59, 'Remake': 54}"
Human: Fall Flat,477160,No Brakes Games,Curve Digital,119404,7172,"5,000,000 .. 10,000,000",558,622,351,164,599,1499,60,9158,"Adventure, Indie","{'Funny': 1676, 'Multiplayer': 1283, 'Co-op': 985, 'Puzzle': 783, 'Physics': 647, 'Adventure': 608, 'Indie': 564, 'Local Co-Op': 530, 'Comedy': 472, 'Parkour': 437, 'Local Multiplayer': 394, 'Puzzle-Platformer': 341, 'Sandbox': 306, 'Open World': 296, 'Casual': 287, 'Singleplayer': 242, '3D Platformer': 238, 'Split Screen': 226, 'Simulation': 178, 'Survival': 165}"
The Elder Scrolls V: Skyrim,72850,Bethesda Game Studios,Bethesda Softworks,280817,15535,"5,000,000 .. 10,000,000",6599,185,3029,215,1999,1999,0,4302,RPG,"{'Open World': 9840, 'RPG': 8548, 'Fantasy': 6092, 'Adventure': 5473, 'Moddable': 4742, 'Dragons': 4741, 'First-Person': 3893, 'Action': 3468, 'Medieval': 3406, 'Singleplayer': 3338, 'Magic': 3308, 'Story Rich': 2911, 'Great Soundtrack': 2781, 'Sandbox': 2473, 'Lore-Rich': 2411, 'Atmospheric': 2384, 'Character Customization': 2275, 'Action RPG': 1770, 'Third Person': 1706, 'Epic': 1429}"
Counter-Strike: Condition Zero,80,Valve,Valve,16863,1688,"5,000,000 .. 10,000,000",411,124,24,124,999,999,0,410,Action,"{'Action': 1351, 'FPS': 1001, 'Shooter': 740, 'Multiplayer': 594, 'First-Person': 453, 'Classic': 387, 'Singleplayer': 380, 'Tactical': 362, 'Team-Based': 310, 'Competitive': 298, 'Strategy': 177, 'Online Co-Op': 171, 'Military': 165, 'Adventure': 88, 'Survival': 75, 'Atmospheric': 60, 'Open World': 48, 'Simulation': 42, 'Dark': 42, 'Old School': 37}"
